trade_date,nav_b0,nav_b1,nav_bh,equity_b0,equity_b1,cash_b0,cash_b1,etf_val_b0,etf_val_b1
20230524,1.0322773638695495,1.0399165431426907,1.039001232591934,2271010.200513009,2287816.3949139193,2271010.200513009,2287816.3949139193,0.0,0.0
20230525,1.0318993997418113,1.0397691705470309,1.0370062330243797,2270178.679431985,2287492.1752034677,1516728.5794319853,1908038.1752034675,753450.1000000001,379454.0
20230526,1.0375447458996243,1.0436392896114903,1.0461832334568608,2282598.4409791734,2296006.437145279,1022203.0409791734,1468765.4371452786,1260395.4,827241.0
20230529,1.036520789943035,1.0424890358239693,1.044188233889378,2280345.7378746774,2293475.8788127326,1038317.5378746775,1260022.5788127326,1242028.2,1033453.3
20230530,1.0381352615262018,1.044510869504616,1.0485772343219306,2283897.575357644,2297923.912910155,1417971.5753576437,1260126.712910155,865926.0,1037797.2000000001
20230531,1.0382830231652824,1.0446797602526747,1.0489762347545193,2284222.650963621,2298295.472555884,1570449.1509636212,1419946.572555884,713773.5,878348.9
20230601,1.0391198213409019,1.0456442834146789,1.0513702351871435,2286063.606949984,2300417.4235122935,1541676.1069499843,1420063.9235122935,744387.4999999999,880353.4999999999
20230602,1.0413519274294984,1.0481997774142255,1.0585522356198038,2290974.2403448964,2306039.510311296,1598275.9403448964,1515445.5103112964,692698.3,790594.0
20230605,1.041373663695549,1.048295804546227,1.0589512360524995,2291022.060130208,2306250.770001699,2033053.260130208,1782351.1700016991,257968.8,523899.6
20230606,1.040470155551075,1.0453075696975744,1.036607236485231,2289034.342212365,2299676.6533346637,2194986.742212365,1995710.6533346637,94047.59999999999,303966.0
20230607,1.0406334572344602,1.0456438358931637,1.0366072369179984,2289393.6059158123,2300416.43896496,2289393.6059158123,2300416.43896496,0.0,0.0
20230608,1.040027810737918,1.0453827217367704,1.0318192373508015,2288061.1836234196,2299841.987820895,1973603.5836234197,2141837.387820895,314457.6,158004.59999999998
20230609,1.04083400976171,1.0459630905342092,1.0390012377836406,2289834.821475762,2301118.79917526,2048183.6214757618,2142014.39917526,241651.2,159104.4
20230612,1.042270015179859,1.0468888720332508,1.0437892382165155,2292994.03339569,2303155.5184731516,1622774.83339569,1886688.3184731514,670219.2000000001,416467.2
20230613,1.043638815704494,1.0479344522940197,1.0481782386494256,2296005.3945498867,2305455.7950468436,1602214.6945498865,1749057.1950468435,693790.7,556398.6
