trade_date,code,asset_type,side,target_shares,order_shares,reason
20250609,512100.SH,ETF,SELL,349100,110100,timing
20250611,512100.SH,ETF,BUY,410600,61500,timing
20250612,512100.SH,ETF,BUY,475800,65200,timing
20250613,512100.SH,ETF,BUY,537200,61400,timing
20250616,512100.SH,ETF,SELL,417200,120000,timing
20250618,512100.SH,ETF,SELL,0,417200,timing
20250619,512100.SH,ETF,BUY,46900,46900,timing
20250620,512100.SH,ETF,SELL,0,46900,timing
20250624,512100.SH,ETF,BUY,151500,151500,timing
20250625,512100.SH,ETF,BUY,325900,174400,timing
20250626,512100.SH,ETF,BUY,567100,241200,timing
20250630,512100.SH,ETF,SELL,483600,83500,timing
20250702,512100.SH,ETF,SELL,385400,98200,timing
20250704,512100.SH,ETF,SELL,287800,97600,timing
20250707,512100.SH,ETF,SELL,152400,135400,timing
20250708,512100.SH,ETF,BUY,232100,79700,timing
20250709,512100.SH,ETF,BUY,278700,46600,timing
20250710,512100.SH,ETF,BUY,441500,162800,timing
20250711,512100.SH,ETF,BUY,521800,80300,timing
20250714,512100.SH,ETF,BUY,566700,44900,timing
20250716,512100.SH,ETF,SELL,462000,104700,timing
20250718,512100.SH,ETF,BUY,502900,40900,timing
20250721,512100.SH,ETF,BUY,596300,93400,timing
20250722,512100.SH,ETF,BUY,693100,96800,timing
20250723,512100.SH,ETF,BUY,803800,110700,timing
20250724,512100.SH,ETF,SELL,754000,49800,timing
20250725,512100.SH,ETF,SELL,659200,94800,timing
20250728,512100.SH,ETF,SELL,353800,305400,timing
20250729,512100.SH,ETF,SELL,246200,107600,timing
20250730,512100.SH,ETF,SELL,124600,121600,timing
20250731,512100.SH,ETF,BUY,238900,114300,timing
20250801,512100.SH,ETF,BUY,331000,92100,timing
20250806,512100.SH,ETF,SELL,278400,52600,timing
20250807,512100.SH,ETF,BUY,351500,73100,timing
20250814,512100.SH,ETF,BUY,513200,161700,timing
20250815,512100.SH,ETF,SELL,418700,94500,timing
20250818,512100.SH,ETF,BUY,485000,66300,timing
20250820,512100.SH,ETF,BUY,659100,174100,timing
20250822,512100.SH,ETF,SELL,363300,295800,timing
20250825,512100.SH,ETF,SELL,244500,118800,timing
20250827,512100.SH,ETF,BUY,403500,159000,timing
20250828,512100.SH,ETF,SELL,322600,80900,timing
20250901,512100.SH,ETF,SELL,232800,89800,timing
20250902,512100.SH,ETF,BUY,391600,158800,timing
20250903,512100.SH,ETF,SELL,339600,52000,timing
20250904,512100.SH,ETF,SELL,272500,67100,timing
20250905,512100.SH,ETF,SELL,0,272500,timing
20250908,512100.SH,ETF,BUY,48000,48000,timing
20250909,512100.SH,ETF,BUY,102700,54700,timing
20250910,512100.SH,ETF,BUY,151800,49100,timing
20250912,512100.SH,ETF,BUY,207600,55800,timing
20250915,512100.SH,ETF,BUY,314400,106800,timing
20250922,512100.SH,ETF,SELL,204500,109900,timing
20250923,512100.SH,ETF,SELL,109900,94600,timing
20250925,512100.SH,ETF,BUY,211300,101400,timing
20250929,512100.SH,ETF,SELL,117000,94300,timing
20250930,512100.SH,ETF,SELL,0,117000,timing
20251009,512100.SH,ETF,BUY,49400,49400,timing
20251010,512100.SH,ETF,BUY,159700,110300,timing
20251014,512100.SH,ETF,SELL,106100,53600,timing
20251015,512100.SH,ETF,SELL,0,106100,timing
20251022,512100.SH,ETF,BUY,145200,145200,timing
20251023,512100.SH,ETF,BUY,331900,186700,timing
20251027,512100.SH,ETF,SELL,228100,103800,timing
20251028,512100.SH,ETF,SELL,164800,63300,timing
20251029,512100.SH,ETF,BUY,235200,70400,timing
20251030,512100.SH,ETF,BUY,335000,99800,timing
20251103,512100.SH,ETF,SELL,208100,126900,timing
20251104,512100.SH,ETF,SELL,162000,46100,timing
20251105,512100.SH,ETF,BUY,218500,56500,timing
20251106,512100.SH,ETF,BUY,382500,164000,timing
20251107,512100.SH,ETF,BUY,437600,55100,timing
20251110,512100.SH,ETF,BUY,501300,63700,timing
20251111,512100.SH,ETF,SELL,446800,54500,timing
20251114,512100.SH,ETF,BUY,585500,138700,timing
20251118,512100.SH,ETF,BUY,702200,116700,timing
20251119,512100.SH,ETF,SELL,529500,172700,timing
20251120,512100.SH,ETF,SELL,451700,77800,timing
20251121,512100.SH,ETF,SELL,0,451700,timing
20251126,512100.SH,ETF,BUY,147300,147300,timing
20251127,512100.SH,ETF,BUY,364100,216800,timing
20251128,512100.SH,ETF,SELL,302200,61900,timing
20251201,512100.SH,ETF,SELL,220700,81500,timing
20251203,512100.SH,ETF,BUY,330700,110000,timing
20251205,512100.SH,ETF,SELL,203200,127500,timing
20251208,512100.SH,ETF,SELL,143100,60100,timing
20251209,512100.SH,ETF,BUY,249600,106500,timing
20251210,512100.SH,ETF,BUY,412500,162900,timing
20251211,512100.SH,ETF,BUY,480000,67500,timing
20251212,512100.SH,ETF,SELL,292700,187300,timing
20251216,512100.SH,ETF,SELL,221900,70800,timing
20251218,512100.SH,ETF,SELL,0,221900,timing
20251222,512100.SH,ETF,BUY,189900,189900,timing
20251223,512100.SH,ETF,BUY,405000,215100,timing
20251225,512100.SH,ETF,BUY,444400,39400,timing
20251226,512100.SH,ETF,BUY,524300,79900,timing
20251229,512100.SH,ETF,BUY,656600,132300,timing
20251231,512100.SH,ETF,SELL,551800,104800,timing
20260105,512100.SH,ETF,SELL,415000,136800,timing
20260107,512100.SH,ETF,BUY,551600,136600,timing
20260108,512100.SH,ETF,BUY,657100,105500,timing
20260109,512100.SH,ETF,BUY,773300,116200,timing
20260113,512100.SH,ETF,BUY,848900,75600,timing
20260114,512100.SH,ETF,SELL,775100,73800,timing
20260115,512100.SH,ETF,SELL,695200,79900,timing
20260116,512100.SH,ETF,SELL,383000,312200,timing
20260119,512100.SH,ETF,SELL,0,383000,timing
20260122,512100.SH,ETF,BUY,90000,90000,timing
