trade_date,nav,daily_ret,nav_long,nav_short,long_ret,short_ret
20250107,2.008463,-0.044284,1.212715,1.700833,0.015824,-0.060108
20250108,1.939574,-0.034299,1.202722,1.656510,-0.008240,-0.026059
20250109,1.917032,-0.011622,1.198924,1.642489,-0.003158,-0.008464
20250110,1.907190,-0.005134,1.165484,1.679868,-0.027891,0.022758
20250113,1.941942,0.018222,1.170662,1.703015,0.004443,0.013779
20250114,1.867407,-0.038382,1.222761,1.561859,0.044504,-0.082886
20250115,1.861861,-0.002970,1.225650,1.553530,0.002362,-0.005332
20250116,1.890098,0.015166,1.235945,1.564042,0.008400,0.006766
20250117,1.893142,0.001611,1.234814,1.567993,-0.000915,0.002526
20250120,1.852066,-0.021698,1.245180,1.520808,0.008395,-0.030093
20250121,1.796781,-0.029851,1.241083,1.480415,-0.003290,-0.026560
20250122,1.831401,0.019268,1.232035,1.519732,-0.007290,0.026558
20250123,1.874341,0.023447,1.236798,1.549490,0.003866,0.019581
20250124,1.841848,-0.017336,1.259858,1.493738,0.018645,-0.035981
20250127,1.917462,0.041054,1.246428,1.570985,-0.010660,0.051714
20250205,1.963045,0.023772,1.264477,1.598684,0.014480,0.017632
20250206,1.927501,-0.018106,1.299461,1.525506,0.027667,-0.045774
20250207,1.921362,-0.003185,1.315500,1.501819,0.012343,-0.015528
20250210,1.933787,0.006466,1.344190,1.478776,0.021809,-0.015343
20250211,1.944109,0.005338,1.344817,1.485981,0.000466,0.004872
20250212,1.920042,-0.012380,1.362987,1.447507,0.013511,-0.025891
20250213,1.930063,0.005219,1.344470,1.474728,-0.013586,0.018805
20250214,1.971919,0.021686,1.352842,1.497526,0.006227,0.015459
20250217,1.911326,-0.030728,1.361009,1.442470,0.006037,-0.036765
20250218,1.929959,0.009749,1.322298,1.497560,-0.028443,0.038191
20250219,1.841751,-0.045705,1.341637,1.407212,0.014626,-0.060330
20250220,1.808497,-0.018055,1.349937,1.373099,0.006186,-0.024242
20250221,1.790774,-0.009800,1.365488,1.343825,0.011520,-0.021320
20250224,1.782238,-0.004767,1.363703,1.339175,-0.001307,-0.003460
20250225,1.767313,-0.008374,1.358104,1.333460,-0.004106,-0.004268
20250226,1.763854,-0.001957,1.374840,1.314418,0.012323,-0.014280
20250227,1.766652,0.001586,1.368946,1.322137,-0.004287,0.005873
20250228,1.806995,0.022836,1.318831,1.400731,-0.036608,0.059444
20250303,1.839996,0.018263,1.326595,1.430587,0.005887,0.021315
20250304,1.828071,-0.006481,1.344144,1.402389,0.013229,-0.019710
20250305,1.786740,-0.022609,1.345676,1.369085,0.001140,-0.023749
